Q9UKG1
P49862
P08185
Q3ZCQ8
Q13287
Q6MZN7
Q9UKP6
P56945
Q13239
P55103
P05121
P42830
P02458
P30457
Q02643
Q9BX66
Q27I68
Q9UBD3
Q8WTP8
P34130
P41279
P68366
Q9HCU4
P29323
Q8WVC6
Q16610
Q07325
Q15750
Q15717
P22003
Q5D1E8
Q07507
Q9HBE1
P63172
Q9NQ25
Q96BW9
Q9UQB8
P19823
Q9ULZ3
P23396
P48651
Q14184
Q9UKV8
P31689
Q7Z4P5
P24592
Q16576
P01889
Q92878
P02452
Q14761
Q9P218
Q29963
Q99683
Q08881
Q14183
Q9NX02
P0C1Z6
Q5JRA6
P31785
A8K4S9
Q9NR96
Q6P9B9
Q6P9H4
Q9H3N8
A8K4X3
P09382
Q9Y230
Q6GTX8
P40933
Q9UM82
P01730
Q13469
P13232
P26038
Q8IYL9
P61088
Q13151
Q13616
P35548
Q92870
P14921
Q96SB3
Q14103
P17066
P29965
Q8WU20
Q8TEU8
P30456
Q15022
P55899
Q92831
P13726
Q02487
Q13347
P41220
P29279
Q9NQS3
Q9NYV7
Q8TD46
Q9H6Q3
P46721
Q9H4G1
Q9Y4K4
Q13322
Q9GZV5
P05111
P11717
Q9NP60
Q6PJF5
Q03167
Q13478
Q5SQQ9
Q96FA3
Q6ZWJ1
P23435
P16410
P02545
P52926
P55884
Q9P212
P30490
Q8WXG9
Q99571
P55209
P06340
P07585
Q96FZ5
P21583
Q9NVI1
Q96EP0
Q9NPF0
P37173
Q96AC1
Q9BYX4
Q86V81
P08253
P62258
P60953
Q4ZHG4
Q9BZP6
Q9UKK3
P04216
Q92736
Q13214
P25189
P47712
P13473
B3KP48
P01709
Q92922
Q9NSC2
P08922
P40763
P30487
P23458
Q9UBN7
Q9NYY1
P22894
Q13620
P36941
Q15311
Q9Y4X3
P32119
P13762
Q9NSD7
P05112
P30483
P41273
P25713
Q05397
P83110
P36507
Q01105
Q12929
Q99788
Q9BZM4
Q8NHJ6
Q9BXB1
P23497
Q9NZC2
Q9NQC7
P08571
Q9NZP8
Q08380
P05161
Q86UY8
P25391
P15529
P02748
P15391
Q9H116
Q86UR5
P08246
P14543
P22557
Q99558
Q13514
P05997
Q9NY59
P17858
P68363
P48960
P04004
Q8N442
Q06830
Q01860
Q29836
P10316
Q53EP0
P25445
Q15013
Q86W26
P18462
Q07011
Q2VWA4
P22105
P02775
P04085
Q14896
Q9HB58
Q14952
P55055
P43694
P39656
Q9NR99
P51684
P32246
Q8TD84
P05362
P43354
Q15382
P49767
P52566
Q9Y279
Q00872
Q6EMK4
P30101
P06756
P31146
Q6AI12
Q8NET5
Q8WXG1
P23946
Q9HCK4
Q99612
Q0P6H9
Q07699
P35247
Q12983
P21781
P20039
P12236
Q5SW96
Q5VST9
Q15398
P52735
P18054
P14618
P15918
P18564
P55268
P37023
P25705
P61769
Q9NPY3
Q14689
Q14155
Q00610
Q04206
Q4AE62
Q99748
Q9H3D4
Q6ZTA4
Q7Z4K8
Q5VTT5
Q16612
Q9UQQ2
P14555
Q9UNP4
Q13204
Q02127
Q13571
Q07954
Q9UMR2
P09326
Q99453
Q9P2J2
Q9NYH9
P08709
Q969H0
Q9BU40
Q8IU80
P61916
Q03405
Q99767
P15018
P45452
Q01638
Q9BRN9
Q9C0K0
Q15121
P07900
Q86UD1
Q9Y572
P16615
Q9P0W0
Q9Y4F9
P55774
P27797
P34741
Q9NP58
P48551
P29016
P25774
Q93063
Q12866
P53805
P04150
Q9C000
Q9Y252
P26885
P30504
P48546
P28827
P80362
Q92785
Q9Y6W8
P35579
Q9UPW6
P24821
Q6FI81
Q99665
Q16875
P04350
P50402
P16871
Q9BT04
P21802
P18463
Q15025
Q15848
Q9Y2K7
Q9NRC8
P02649
Q03169
P51532
Q5XKR4
P31371
P20339
P60568
Q9UIF9
Q9Y639
Q9Y5U5
Q03164
Q9H7M9
Q92729
P43235
P30485
Q9Y4D7
P32970
P32249
Q01523
Q92748
Q9H6D8
P19878
P28838
P48061
Q06124
Q15418
Q9UM54
P27361
P11021
Q01974
P38398
Q96C24
Q96RI0
P27487
Q96IY4
Q9Y265
P43026
Q00889
P36955
Q9Y697
P23510
Q02447
P22455
P45983
P63261
Q14289
P21675
P55773
Q71RC8
Q8WZ42
P13760
Q9NNX6
Q16873
P81534
P12830
P20701
Q9HD89
Q9BRK3
Q9UKK6
P37231
P26842
Q13748
Q99616
Q92581
Q13416
Q13422
P20749
Q9NZM1
Q6UW14
Q8N2V1
Q9Y3M8
P50502
Q9UNH7
P52823
Q9Y5Q5
P51671
P62873
P36897
P79483
P10909
Q9UP38
P16109
P05538
P30793
P09912
P16190
Q9BXJ2
Q71UZ1
P42336
Q14213
Q9NP72
P26045
P20719
Q7Z628
Q9H9Q4
P10767
Q29865
Q9NUV9
Q13094
P60033
P04229
Q9BXK5
Q8WXH5
Q96MM7
Q96J02
Q9UIQ6
P29466
Q01085
Q13291
Q30167
P98160
Q8IX05
Q2TVT3
Q96AH0
P78329
Q02156
Q12805
P14316
Q9BQE5
Q9NY43
P39905
Q9H6U6
Q13387
P13761
Q8TB30
Q9UKJ0
P11465
P56211
P30488
P05549
P06318
Q15648
P04637
P01222
Q96CV9
Q9H0Q3
Q9H3U5
Q15672
Q9Y616
P42677
P31151
Q9NS91
P09038
P13497
Q9NPH3
Q9HCE7
Q92793
Q08629
P12931
Q4VBL2
Q13547
P22614
Q01650
Q15365
Q9H871
Q02413
Q96QR1
P03952
P09668
Q9Y275
O43889
P29275
P31277
P01579
Q7Z736
Q13007
Q92619
P10145
Q9UQ74
Q06323
Q04941
P17676
P12318
P29459
Q8N5P1
P17936
P19022
P07358
Q93091
P30510
P29590
P40238
P35916
Q8N165
P48742
Q8NEE8
Q05516
Q9NPF7
Q09160
Q96AZ6
P46939
Q92667
Q8TBE7
Q92626
P27930
Q99466
Q00325
P32004
Q00839
Q9NS15
P30455
Q8TED9
P18085
Q9NS68
Q6XQN6
Q9H0F6
Q9UHC1
P41217
Q969V3
Q86YC3
Q9NUX5
Q07021
Q96MS0
Q13118
P11142
P23468
P55211
P78370
P29728
Q95460
Q96LC9
P06319
P51571
Q3KPI0
P32971
P10071
Q9P246
Q9NZN1
Q9NVI7
P41218
Q8TDQ1
Q14258
P21333
Q96RU7
P01584
Q9H4A4
Q8WUT4
Q8IUI8
P29274
Q01201
Q9Y2C9
Q9Y4K3
Q6IQ23
P43146
Q13485
Q15654
P52565
Q16557
Q9H1R3
P09017
Q9UI40
P27348
Q6UWV2
P33241
Q9UQP3
Q14626
Q4AC94
P02753
P62699
P52630
P15692
Q8TAU0
Q86YW5
Q9Y6N7
P13746
P02654
P16471
Q9HB75
P28799
P12034
Q9BZW8
Q14954
Q9NQC1
Q9NRL2
Q9H2W1
Q16042
P07195
Q96CX2
Q9UDY8
Q9Y5J5
P09603
Q9HAU8
P19397
P30480
Q95365
Q86XL3
Q06643
P30464
Q96P20
P98161
Q9Y324
Q9H257
Q00987
Q14164
Q96D34
P49757
P31629
Q14865
Q9BXW9
Q96Q40
P53367
Q15762
Q92859
P17181
Q16663
P51685
P22681
P54296
Q96PX9
Q99640
Q96FS4
Q05639
