,Uniprot AC ID Interactor A,Uniprot AC ID Interactor B,Official Symbol Interactor A,Official Symbol Interactor B
0,P01137,Q9BWV1,TGFB1,BOC
0,P01137,Q14112,TGFB1,NID2
0,P01137,Q9H6U6,TGFB1,BCAS3
0,P01137,P16989,TGFB1,YBX3
0,P01137,Q13253,TGFB1,NOG
0,P01137,Q9UKQ9,TGFB1,KLK9
0,P01137,Q8TDB6,TGFB1,DTX3L
0,P01137,P07996,TGFB1,THBS1
0,P01137,Q8IWV7,TGFB1,UBR1
0,P01137,Q9HCM4,TGFB1,EPB41L5
0,P01137,P20160,TGFB1,AZU1
0,P01137,P05111,TGFB1,INHA
0,P01137,P19525,TGFB1,EIF2AK2
0,P01137,Q6UWB1,TGFB1,IL27RA
0,P01137,P09382,TGFB1,LGALS1
0,P01137,Q92667,TGFB1,AKAP1
0,P01137,P16109,TGFB1,SELP
0,P01137,Q15811,TGFB1,ITSN1
0,P01137,P80511,TGFB1,S100A12
0,P01137,P06734,TGFB1,FCER2
0,P01137,P55884,TGFB1,EIF3B
0,P01137,Q7Z4P5,TGFB1,GDF7
0,P01137,Q53EP0,TGFB1,FNDC3B
0,P01137,P55899,TGFB1,FCGRT
0,P01137,P08575,TGFB1,PTPRC
0,P01137,P36894,TGFB1,BMPR1A
0,P01137,Q96JY6,TGFB1,PDLIM2
0,P01137,Q13191,TGFB1,CBLB
0,P01137,Q15911,TGFB1,ZFHX3
0,P01137,P35568,TGFB1,IRS1
0,P01137,P16471,TGFB1,PRLR
0,P01137,P01229,TGFB1,LHB
0,P01137,Q969H0,TGFB1,FBXW7
0,P01137,Q71UM5,TGFB1,RPS27L
0,P01137,P54760,TGFB1,EPHB4
0,P01137,P36897,TGFB1,TGFBR1
0,P01137,P43235,TGFB1,CTSK
0,P01137,Q99607,TGFB1,ELF4
0,P01137,P25101,TGFB1,EDNRA
0,P01137,Q92752,TGFB1,TNR
0,P01137,Q9H293,TGFB1,IL25
0,P01137,P37023,TGFB1,ACVRL1
0,P01137,Q9NR61,TGFB1,DLL4
0,P01137,Q14865,TGFB1,ARID5B
0,P01137,P61769,TGFB1,B2M
0,P01137,Q92954,TGFB1,PRG4
0,P01137,P29034,TGFB1,S100A2
0,P01137,Q8IZY5,TGFB1,BLID
0,P01137,P26927,TGFB1,MST1
0,P01137,Q92949,TGFB1,FOXJ1
0,P01137,Q92838,TGFB1,EDA
0,P01137,P98160,TGFB1,HSPG2
0,P01137,Q9Y337,TGFB1,KLK5
0,P01137,P55107,TGFB1,GDF10
0,P01137,Q53EV4,TGFB1,LRRC23
0,P01137,P09619,TGFB1,PDGFRB
0,P01137,P41970,TGFB1,ELK3
0,P01137,Q9Y5Y6,TGFB1,ST14
0,P01137,P07900,TGFB1,HSP90AA1
0,P01137,P29279,TGFB1,CTGF
0,P01137,Q14767,TGFB1,LTBP2
0,P01137,P78317,TGFB1,RNF4
0,P01137,P26022,TGFB1,PTX3
0,P01137,Q9NRD1,TGFB1,FBXO6
0,P01137,Q96RU7,TGFB1,TRIB3
0,P01137,P10070,TGFB1,GLI2
0,P01137,Q02487,TGFB1,DSC2
0,P01137,Q6Q0C0,TGFB1,TRAF7
0,P01137,Q8IYL9,TGFB1,GPR65
0,P01137,P51617,TGFB1,IRAK1
0,P01137,Q2VWA4,TGFB1,SKOR2
0,P01137,Q03135,TGFB1,CAV1
0,P01137,Q9UBN7,TGFB1,HDAC6
0,P01137,Q9UM47,TGFB1,NOTCH3
0,P01137,Q9Y6Y9,TGFB1,LY96
0,P01137,Q9UJU2,TGFB1,LEF1
0,P01137,P30542,TGFB1,ADORA1
0,P01137,P78552,TGFB1,IL13RA1
0,P01137,P21730,TGFB1,C5AR1
0,P01137,Q13347,TGFB1,EIF3I
0,P01137,P83110,TGFB1,HTRA3
0,P01137,Q96QB1,TGFB1,DLC1
0,P01137,Q5SW24,TGFB1,DACT2
0,P01137,P33681,TGFB1,CD80
0,P01137,P49862,TGFB1,KLK7
0,P01137,P31277,TGFB1,HOXD11
0,P01137,P32519,TGFB1,ELF1
0,P01137,P11047,TGFB1,LAMC1
0,P01137,P01137,TGFB1,TGFB1
0,P01137,P51532,TGFB1,SMARCA4
0,P01137,Q9NS91,TGFB1,RAD18
0,P01137,Q99650,TGFB1,OSMR
0,P01137,P04233,TGFB1,CD74
0,P01137,P12645,TGFB1,BMP3
0,P01137,P12643,TGFB1,BMP2
0,P01137,P42226,TGFB1,STAT6
0,P01137,Q9BY67,TGFB1,CADM1
0,P01137,P07858,TGFB1,CTSB
0,P01137,P61916,TGFB1,NPC2
0,P01137,P14778,TGFB1,IL1R1
0,P01137,Q6YHK3,TGFB1,CD109
0,P01137,P30530,TGFB1,AXL
0,P01137,P10721,TGFB1,KIT
0,P01137,P16871,TGFB1,IL7R
0,P01137,Q15848,TGFB1,ADIPOQ
0,P01137,P36382,TGFB1,GJA5
0,P01137,Q9HC29,TGFB1,NOD2
0,P01137,P61073,TGFB1,CXCR4
0,P01137,Q9UNN8,TGFB1,PROCR
0,P01137,Q9HAV5,TGFB1,EDA2R
0,P01137,P01889,TGFB1,HLA-B
0,P01137,P49116,TGFB1,NR2C2
0,P01137,P21333,TGFB1,FLNA
0,P01137,P01374,TGFB1,LTA
0,P01137,Q9BXN1,TGFB1,ASPN
0,P01137,Q16610,TGFB1,ECM1
0,P01137,Q9H871,TGFB1,RMND5A
0,P01137,P52565,TGFB1,ARHGDIA
0,P01137,Q8TEU8,TGFB1,WFIKKN2
0,P01137,Q9P2A4,TGFB1,ABI3
0,P01137,P25054,TGFB1,APC
0,P01137,P18146,TGFB1,EGR1
0,P01137,Q16620,TGFB1,NTRK2
0,P01137,Q13207,TGFB1,TBX2
0,P01137,Q92692,TGFB1,NECTIN2
0,P01137,P40189,TGFB1,IL6ST
0,P01137,Q9HCU4,TGFB1,CELSR2
0,P01137,P48059,TGFB1,LIMS1
0,P01137,P17275,TGFB1,JUNB
0,P01137,P07357,TGFB1,C8A
0,P01137,P21757,TGFB1,MSR1
0,P01137,Q9NUX5,TGFB1,POT1
0,P01137,Q13444,TGFB1,ADAM15
0,P01137,Q9HCK4,TGFB1,ROBO2
0,P01137,P08123,TGFB1,COL1A2
0,P01137,P13987,TGFB1,CD59
0,P01137,Q9UKK3,TGFB1,PARP4
0,P01137,Q9UHI8,TGFB1,ADAMTS1
0,P01137,P06400,TGFB1,RB1
0,P01137,P48740,TGFB1,MASP1
0,P01137,Q9NQX1,TGFB1,PRDM5
0,P01137,P15408,TGFB1,FOSL2
0,P01137,Q96RI0,TGFB1,F2RL3
0,P01137,Q9Y6W5,TGFB1,WASF2
0,P01137,P19022,TGFB1,CDH2
0,P01137,P10451,TGFB1,SPP1
0,P01137,Q07157,TGFB1,TJP1
0,P01137,Q13422,TGFB1,IKZF1
0,P01137,P27797,TGFB1,CALR
0,P01137,P78504,TGFB1,JAG1
0,P01137,P04141,TGFB1,CSF2
0,P01137,Q5XKR4,TGFB1,OTP
0,P01137,Q8WZ75,TGFB1,ROBO4
0,P01137,Q4ZG55,TGFB1,GREB1
0,P01137,Q15828,TGFB1,CST6
0,P01137,P12111,TGFB1,COL6A3
0,P01137,P02746,TGFB1,C1QB
0,P01137,Q9UKS6,TGFB1,PACSIN3
0,P01137,P16144,TGFB1,ITGB4
0,P01137,P46939,TGFB1,UTRN
0,P01137,Q8IZV5,TGFB1,RDH10
0,P01137,Q05655,TGFB1,PRKCD
0,P01137,P49767,TGFB1,VEGFC
0,P01137,Q9UHC1,TGFB1,MLH3
0,P01137,P09958,TGFB1,FURIN
0,P01137,P10747,TGFB1,CD28
0,P01137,Q9NPF0,TGFB1,CD320
0,P01137,P98082,TGFB1,DAB2
0,P01137,P81534,TGFB1,DEFB103A
0,P01137,P13631,TGFB1,RARG
0,P01137,P42224,TGFB1,STAT1
0,P01137,Q7Z5Y6,TGFB1,BMP8A
0,P01137,P13497,TGFB1,BMP1
0,P01137,Q9BYG5,TGFB1,PARD6B
0,P01137,P29353,TGFB1,SHC1
0,P01137,Q96F15,TGFB1,GIMAP5
0,P01137,Q16676,TGFB1,FOXD1
0,P01137,Q99958,TGFB1,FOXC2
0,P01137,Q00604,TGFB1,NDP
0,P01137,P15692,TGFB1,VEGFA
0,P01137,Q86V81,TGFB1,ALYREF
0,P01137,Q9NZQ7,TGFB1,CD274
0,P01137,Q14653,TGFB1,IRF3
0,P01137,P35968,TGFB1,KDR
0,P01137,Q9BZ95,TGFB1,NSD3
0,P01137,Q99466,TGFB1,NOTCH4
0,P01137,P10124,TGFB1,SRGN
0,P01137,Q15654,TGFB1,TRIP6
0,P01137,P08887,TGFB1,IL6R
0,P01137,P24821,TGFB1,TNC
0,P01137,Q9NQB0,TGFB1,TCF7L2
0,P01137,P39905,TGFB1,GDNF
0,P01137,Q04771,TGFB1,ACVR1
0,P01137,P07585,TGFB1,DCN
0,P01137,Q9P2W1,TGFB1,PSMC3IP
0,P01137,P38398,TGFB1,BRCA1
0,P01137,P19883,TGFB1,FST
0,P01137,P29317,TGFB1,EPHA2
0,P01137,Q9UH65,TGFB1,SWAP70
0,P01137,P55055,TGFB1,NR1H2
0,P01137,Q96SB3,TGFB1,PPP1R9B
0,P01137,P24158,TGFB1,PRTN3
0,P01137,P08922,TGFB1,ROS1
0,P01137,P58166,TGFB1,INHBE
0,P01137,P55268,TGFB1,LAMB2
0,P01137,P35070,TGFB1,BTC
0,P01137,Q16581,TGFB1,C3AR1
0,P01137,P02760,TGFB1,AMBP
0,P01137,P62330,TGFB1,ARF6
0,P01137,Q8NI27,TGFB1,THOC2
0,P01137,P13611,TGFB1,VCAN
0,P01137,Q8N8U9,TGFB1,BMPER
0,P01137,Q9UIF9,TGFB1,BAZ2A
0,P01137,Q9P1W8,TGFB1,SIRPG
0,P01137,P04004,TGFB1,VTN
0,P01137,P49711,TGFB1,CTCF
0,P01137,P08648,TGFB1,ITGA5
0,P01137,Q15399,TGFB1,TLR1
0,P01137,Q96DB9,TGFB1,FXYD5
0,P01137,P54253,TGFB1,ATXN1
0,P01137,Q6KF10,TGFB1,GDF6
0,P01137,Q9Y5J5,TGFB1,PHLDA3
0,P01137,Q96QR1,TGFB1,SCGB3A1
0,P01137,Q9NZV1,TGFB1,CRIM1
0,P01137,Q16512,TGFB1,PKN1
0,P01137,P22557,TGFB1,ALAS2
0,P01137,P22105,TGFB1,TNXB
0,P01137,Q14956,TGFB1,GPNMB
0,P01137,Q9UHF1,TGFB1,EGFL7
0,P01137,P35610,TGFB1,SOAT1
0,P01137,Q12805,TGFB1,EFEMP1
0,P01137,P35555,TGFB1,FBN1
0,P01137,Q03167,TGFB1,TGFBR3
0,P01137,P07203,TGFB1,GPX1
0,P01137,P04637,TGFB1,TP53
0,P01137,Q96RT1,TGFB1,ERBIN
0,P01137,Q13873,TGFB1,BMPR2
0,P01137,P48546,TGFB1,GIPR
0,P01137,P06340,TGFB1,HLA-DOA
0,P01137,P60022,TGFB1,DEFB1
0,P01137,Q92956,TGFB1,TNFRSF14
0,P01137,P29274,TGFB1,ADORA2A
0,P01137,Q06323,TGFB1,PSME1
0,P01137,P22681,TGFB1,CBL
0,P01137,P34741,TGFB1,SDC2
0,P01137,P08246,TGFB1,ELANE
0,P01137,Q99966,TGFB1,CITED1
0,P01137,Q9NZM1,TGFB1,MYOF
0,P01137,P49715,TGFB1,CEBPA
0,P01137,Q01094,TGFB1,E2F1
0,P01137,Q32P28,TGFB1,P3H1
0,P01137,Q9Y4D7,TGFB1,PLXND1
0,P01137,Q92824,TGFB1,PCSK5
0,P01137,Q13705,TGFB1,ACVR2B
0,P01137,Q99075,TGFB1,HBEGF
0,P01137,Q9NR12,TGFB1,PDLIM7
0,P01137,Q9NQW6,TGFB1,ANLN
0,P01137,P31268,TGFB1,HOXA7
0,P01137,Q5ZPR3,TGFB1,CD276
0,P01137,Q16763,TGFB1,UBE2S
0,P01137,Q86VB7,TGFB1,CD163
0,P01137,P18827,TGFB1,SDC1
0,P01137,P17936,TGFB1,IGFBP3
0,P01137,Q15109,TGFB1,AGER
0,P01137,Q14118,TGFB1,DAG1
0,P01137,Q15797,TGFB1,SMAD1
0,P01137,P13726,TGFB1,F3
0,P01137,P14543,TGFB1,NID1
0,P01137,Q92626,TGFB1,PXDN
0,P01137,Q68DX3,TGFB1,FRMPD2
0,P01137,P38484,TGFB1,IFNGR2
0,P01137,Q16666,TGFB1,IFI16
0,P01137,Q09472,TGFB1,EP300
0,P01137,P32121,TGFB1,ARRB2
0,P01137,Q16584,TGFB1,MAP3K11
0,P01137,P35453,TGFB1,HOXD13
0,P01137,Q8N5R6,TGFB1,CCDC33
0,P01137,Q8TE12,TGFB1,LMX1A
0,P01137,P50591,TGFB1,TNFSF10
0,P01137,Q86UX7,TGFB1,FERMT3
0,P01137,Q9HBG7,TGFB1,LY9
0,P01137,P09668,TGFB1,CTSH
0,P01137,P25116,TGFB1,F2R
0,P01137,P46934,TGFB1,NEDD4
0,P01137,Q9UER7,TGFB1,DAXX
0,P01137,P11464,TGFB1,PSG1
0,P01137,Q08431,TGFB1,MFGE8
0,P01137,P19838,TGFB1,NFKB1
0,P01137,P28799,TGFB1,GRN
0,P01137,Q9P2D1,TGFB1,CHD7
0,P01137,Q9HCE7,TGFB1,SMURF1
0,P01137,Q8N441,TGFB1,FGFRL1
0,P01137,Q9NQC7,TGFB1,CYLD
0,P01137,Q9BS26,TGFB1,ERP44
0,P01137,Q13133,TGFB1,NR1H3
0,P01137,Q12983,TGFB1,BNIP3
0,P01137,P16410,TGFB1,CTLA4
0,P01137,P13500,TGFB1,CCL2
0,P01137,Q9NRA1,TGFB1,PDGFC
0,P01137,Q495A1,TGFB1,TIGIT
0,P01137,Q16552,TGFB1,IL17A
0,P01137,Q9BZF9,TGFB1,UACA
0,P01137,Q8IUD6,TGFB1,RNF135
0,P01137,Q02556,TGFB1,IRF8
0,P01137,P12644,TGFB1,BMP4
0,P01137,P49757,TGFB1,NUMB
0,P01137,P26358,TGFB1,DNMT1
0,P01137,Q9GZV5,TGFB1,WWTR1
0,P01137,Q15714,TGFB1,TSC22D1
0,P01137,P15291,TGFB1,B4GALT1
0,P01137,P17813,TGFB1,ENG
0,P01137,Q13761,TGFB1,RUNX3
0,P01137,Q9NY15,TGFB1,STAB1
0,P01137,P08631,TGFB1,HCK
0,P01137,P15018,TGFB1,LIF
0,P01137,P07766,TGFB1,CD3E
0,P01137,P60033,TGFB1,CD81
0,P01137,Q96C24,TGFB1,SYTL4
0,P01137,Q12841,TGFB1,FSTL1
0,P01137,Q15306,TGFB1,IRF4
0,P01137,P19256,TGFB1,CD58
0,P01137,Q92748,TGFB1,THRSP
0,P01137,Q15035,TGFB1,TRAM2
0,P01137,P60568,TGFB1,IL2
0,P01137,P63172,TGFB1,DYNLT1
0,P01137,P47712,TGFB1,PLA2G4A
0,P01137,Q9H2X0,TGFB1,CHRD
0,P01137,Q15022,TGFB1,SUZ12
0,P01137,P53367,TGFB1,ARFIP1
0,P01137,Q15198,TGFB1,PDGFRL
0,P01137,Q13485,TGFB1,SMAD4
0,P01137,P27037,TGFB1,ACVR2A
0,P01137,P08311,TGFB1,CTSG
0,P01137,Q9GZX9,TGFB1,TWSG1
0,P01137,Q8NF91,TGFB1,SYNE1
0,P01137,Q06828,TGFB1,FMOD
0,P01137,P10147,TGFB1,CCL3
0,P01137,P22413,TGFB1,ENPP1
0,P01137,Q99593,TGFB1,TBX5
0,P01137,Q9P212,TGFB1,PLCE1
0,P01137,P05156,TGFB1,CFI
0,P01137,Q14451,TGFB1,GRB7
0,P01137,P06681,TGFB1,C2
0,P01137,Q14623,TGFB1,IHH
0,P01137,P04085,TGFB1,PDGFA
0,P01137,P50222,TGFB1,MEOX2
0,P01137,Q9Y616,TGFB1,IRAK3
0,P01137,Q5KU26,TGFB1,COLEC12
0,P01137,Q92835,TGFB1,INPP5D
0,P01137,P49023,TGFB1,PXN
0,P01137,P09630,TGFB1,HOXC6
0,P01137,P16284,TGFB1,PECAM1
0,P01137,P07948,TGFB1,LYN
0,P01137,P29323,TGFB1,EPHB2
0,P01137,P30411,TGFB1,BDKRB2
0,P01137,P08833,TGFB1,IGFBP1
0,P01137,P14316,TGFB1,IRF2
0,P01137,P48023,TGFB1,FASLG
0,P01137,Q16288,TGFB1,NTRK3
0,P01137,P08253,TGFB1,MMP2
0,P01137,P10276,TGFB1,RARA
0,P01137,P02747,TGFB1,C1QC
0,P01137,P53805,TGFB1,RCAN1
0,P01137,Q6UWE0,TGFB1,LRSAM1
0,P01137,P02778,TGFB1,CXCL10
0,P01137,Q13753,TGFB1,LAMC2
0,P01137,Q9BZZ2,TGFB1,SIGLEC1
0,P01137,Q14005,TGFB1,IL16
0,P01137,Q9H116,TGFB1,GZF1
0,P01137,P49763,TGFB1,PGF
0,P01137,P22692,TGFB1,IGFBP4
0,P01137,Q8N2R0,TGFB1,OSR2
0,P01137,Q04864,TGFB1,REL
0,P01137,P48960,TGFB1,CD97
0,P01137,P05067,TGFB1,APP
0,P01137,P34820,TGFB1,BMP8B
0,P01137,P02751,TGFB1,FN1
0,P01137,P80217,TGFB1,IFI35
0,P01137,P14317,TGFB1,HCLS1
0,P01137,Q9UK73,TGFB1,FEM1B
0,P01137,P52566,TGFB1,ARHGDIB
0,P01137,Q15910,TGFB1,EZH2
0,P01137,P43489,TGFB1,TNFRSF4
0,P01137,P10914,TGFB1,IRF1
0,P01137,Q9UI38,TGFB1,PRSS50
0,P01137,P06748,TGFB1,NPM1
0,P01137,Q9BTC8,TGFB1,MTA3
0,P01137,P12830,TGFB1,CDH1
0,P01137,P49354,TGFB1,FNTA
0,P01137,P46531,TGFB1,NOTCH1
0,P01137,P20908,TGFB1,COL5A1
0,P01137,P07942,TGFB1,LAMB1
0,P01137,P61812,TGFB1,TGFB2
0,P01137,Q99715,TGFB1,COL12A1
0,P01137,P09038,TGFB1,FGF2
0,P01137,P06729,TGFB1,CD2
0,P01137,P25942,TGFB1,CD40
0,P01137,P29590,TGFB1,PML
0,P01137,Q8WV28,TGFB1,BLNK
0,P01137,Q14213,TGFB1,EBI3
0,P01137,P24593,TGFB1,IGFBP5
0,P01137,P02545,TGFB1,LMNA
0,P01137,P12755,TGFB1,SKI
0,P01137,P22301,TGFB1,IL10
0,P01137,Q9Y279,TGFB1,VSIG4
0,P01137,Q9NQ25,TGFB1,SLAMF7
0,P01137,Q9GZV9,TGFB1,FGF23
0,P01137,Q8WUH2,TGFB1,TGFBRAP1
0,P01137,Q96I82,TGFB1,KAZALD1
0,P01137,Q9ULZ3,TGFB1,PYCARD
0,P01137,P18065,TGFB1,IGFBP2
0,P01137,P12319,TGFB1,FCER1A
0,P01137,P10071,TGFB1,GLI3
0,P01137,P43694,TGFB1,GATA4
0,P01137,P20783,TGFB1,NTF3
0,P01137,P09603,TGFB1,CSF1
0,P01137,P11215,TGFB1,ITGAM
0,P01137,Q01523,TGFB1,DEFA5
0,P01137,Q99988,TGFB1,GDF15
0,P01137,P02458,TGFB1,COL2A1
0,P01137,Q9Y252,TGFB1,RNF6
0,P01137,P43026,TGFB1,GDF5
0,P01137,P62942,TGFB1,FKBP1A
0,P01137,P22003,TGFB1,BMP5
0,P01137,P02775,TGFB1,PPBP
0,P01137,Q8NET5,TGFB1,NFAM1
0,P01137,Q92729,TGFB1,PTPRU
0,P01137,Q9HB63,TGFB1,NTN4
0,P01137,Q04900,TGFB1,CD164
0,P01137,Q8WY64,TGFB1,MYLIP
0,P01137,P12838,TGFB1,DEFA4
0,P01137,P26842,TGFB1,CD27
0,P01137,Q9H257,TGFB1,CARD9
0,P01137,P30988,TGFB1,CALCR
0,P01137,P23510,TGFB1,TNFSF4
0,P01137,P13232,TGFB1,IL7
0,P01137,Q01196,TGFB1,RUNX1
0,P01137,P15514,TGFB1,AREG
0,P01137,Q03014,TGFB1,HHEX
0,P01137,Q96NZ8,TGFB1,WFIKKN1
0,P01137,Q8WU20,TGFB1,FRS2
0,P01137,Q9NQ30,TGFB1,ESM1
0,P01137,Q6UXL0,TGFB1,IL20RB
0,P01137,Q9UL17,TGFB1,TBX21
0,P01137,P18564,TGFB1,ITGB6
0,P01137,P25189,TGFB1,MPZ
0,P01137,Q9NZP8,TGFB1,C1RL
0,P01137,Q13163,TGFB1,MAP2K5
0,P01137,P84022,TGFB1,SMAD3
0,P01137,P14780,TGFB1,MMP9
0,P01137,P14210,TGFB1,HGF
0,P01137,P02461,TGFB1,COL3A1
0,P01137,Q12933,TGFB1,TRAF2
0,P01137,Q9BZS1,TGFB1,FOXP3
0,P01137,Q6EMK4,TGFB1,VASN
0,P01137,Q96FS4,TGFB1,SIPA1
0,P01137,Q6UXB4,TGFB1,CLEC4G
0,P01137,P09486,TGFB1,SPARC
0,P01137,P83105,TGFB1,HTRA4
0,P01137,Q6PCD5,TGFB1,RFWD3
0,P01137,P48061,TGFB1,CXCL12
0,P01137,Q15672,TGFB1,TWIST1
0,P01137,P05549,TGFB1,TFAP2A
0,P01137,Q8TD06,TGFB1,AGR3
0,P01137,Q15389,TGFB1,ANGPT1
0,P01137,Q15648,TGFB1,MED1
0,P01137,P43405,TGFB1,SYK
0,P01137,Q9UNS1,TGFB1,TIMELESS
0,P01137,Q9UPN9,TGFB1,TRIM33
0,P01137,Q9H6Q3,TGFB1,SLA2
0,P01137,Q9Y5W3,TGFB1,KLF2
0,P01137,P17301,TGFB1,ITGA2
0,P01137,Q9Y3F4,TGFB1,STRAP
0,P01137,P42081,TGFB1,CD86
0,P01137,Q15796,TGFB1,SMAD2
0,P01137,P12757,TGFB1,SKIL
0,P01137,Q8N2S1,TGFB1,LTBP4
0,P01137,P50281,TGFB1,MMP14
0,P01137,P20742,TGFB1,PZP
0,P01137,Q92743,TGFB1,HTRA1
0,P01137,Q13620,TGFB1,CUL4B
0,P01137,P27539,TGFB1,GDF1
0,P01137,Q99571,TGFB1,P2RX4
0,P01137,P51805,TGFB1,PLXNA3
0,P01137,P19474,TGFB1,TRIM21
0,P01137,Q13796,TGFB1,SHROOM2
0,P01137,Q12948,TGFB1,FOXC1
0,P01137,P55103,TGFB1,INHBC
0,P01137,P08476,TGFB1,INHBA
0,P01137,Q9P246,TGFB1,STIM2
0,P01137,Q03001,TGFB1,DST
0,P01137,Q15398,TGFB1,DLGAP5
0,P01137,P02654,TGFB1,APOC1
0,P01137,Q9Y2T1,TGFB1,AXIN2
0,P01137,Q9NRL2,TGFB1,BAZ1A
0,P01137,P16885,TGFB1,PLCG2
0,P01137,Q9BQB4,TGFB1,SOST
0,P01137,P42229,TGFB1,STAT5A
0,P01137,Q02447,TGFB1,SP3
0,P01137,Q13426,TGFB1,XRCC4
0,P01137,P10909,TGFB1,CLU
0,P01137,Q9Y4K3,TGFB1,TRAF6
0,P01137,P42566,TGFB1,EPS15
0,P01137,P36896,TGFB1,ACVR1B
0,P01137,P02748,TGFB1,C9
0,P01137,Q9UNH7,TGFB1,SNX6
0,P01137,P29466,TGFB1,CASP1
0,P01137,Q96EP1,TGFB1,CHFR
0,P01137,P01222,TGFB1,TSHB
0,P01137,Q9UK05,TGFB1,GDF2
0,P01137,Q92870,TGFB1,APBB2
0,P01137,Q12929,TGFB1,EPS8
0,P01137,P10643,TGFB1,C7
0,P01137,P35579,TGFB1,MYH9
0,P01137,P55085,TGFB1,F2RL1
0,P01137,Q5SQQ9,TGFB1,VAX1
0,P01137,Q16270,TGFB1,IGFBP7
0,P01137,Q6IQ23,TGFB1,PLEKHA7
0,P01137,P35240,TGFB1,NF2
0,P01137,Q01860,TGFB1,POU5F1
0,P01137,Q96FA3,TGFB1,PELI1
0,P01137,Q9Y624,TGFB1,F11R
0,P01137,P24592,TGFB1,IGFBP6
0,P01137,P18075,TGFB1,BMP7
0,P01137,Q9BQ51,TGFB1,PDCD1LG2
0,P01137,Q9UBC3,TGFB1,DNMT3B
0,P01137,Q99704,TGFB1,DOK1
0,P01137,P48742,TGFB1,LHX1
0,P01137,P50402,TGFB1,EMD
0,P01137,P15502,TGFB1,ELN
0,P01137,Q14774,TGFB1,HLX
0,P01137,P31949,TGFB1,S100A11
0,P01137,P02745,TGFB1,C1QA
0,P01137,P08709,TGFB1,F7
0,P01137,P18085,TGFB1,ARF4
0,P01137,Q01201,TGFB1,RELB
0,P01137,P20916,TGFB1,MAG
0,P01137,P22749,TGFB1,GNLY
0,P01137,P40763,TGFB1,STAT3
0,P01137,Q8IYM9,TGFB1,TRIM22
0,P01137,P26447,TGFB1,S100A4
0,P01137,P11362,TGFB1,FGFR1
0,P01137,P15498,TGFB1,VAV1
0,P01137,P02790,TGFB1,HPX
0,P01137,P48307,TGFB1,TFPI2
0,P01137,Q14896,TGFB1,MYBPC3
0,P01137,Q14766,TGFB1,LTBP1
0,P01137,Q5T4W7,TGFB1,ARTN
0,P01137,Q7Z6A9,TGFB1,BTLA
0,P01137,Q13118,TGFB1,KLF10
0,P01137,Q14201,TGFB1,BTG3
0,P01137,Q9NYQ6,TGFB1,CELSR1
0,P01137,Q96EP0,TGFB1,RNF31
0,P01137,Q15013,TGFB1,MAD2L1BP
0,P01137,P15151,TGFB1,PVR
0,P01137,Q8NER5,TGFB1,ACVR1C
0,P01137,P11473,TGFB1,VDR
0,P01137,P08047,TGFB1,SP1
0,P01137,Q63HQ2,TGFB1,EGFLAM
0,P01137,P05106,TGFB1,ITGB3
0,P01137,Q01974,TGFB1,ROR2
0,P01137,Q9Y6R0,TGFB1,NUMBL
0,P01137,Q01082,TGFB1,SPTBN1
0,P01137,P29275,TGFB1,ADORA2B
0,P01137,P25391,TGFB1,LAMA1
0,P01137,P25067,TGFB1,COL8A2
0,P01137,Q9Y6N7,TGFB1,ROBO1
0,P01137,Q01524,TGFB1,DEFA6
0,P01137,P10646,TGFB1,TFPI
0,P01137,P59665,TGFB1,DEFA1
0,P01137,Q15582,TGFB1,TGFBI
0,P01137,P17676,TGFB1,CEBPB
0,P01137,P09529,TGFB1,INHBB
0,P01137,Q9UPQ4,TGFB1,TRIM35
0,P01137,P41221,TGFB1,WNT5A
0,P01137,Q9Y6Q9,TGFB1,NCOA3
0,P01137,P05231,TGFB1,IL6
0,P01137,Q12866,TGFB1,MERTK
0,P01137,Q8N726,TGFB1,CDKN2A
0,P01137,P10586,TGFB1,PTPRF
0,P01137,P28827,TGFB1,PTPRM
0,P01137,Q8NI51,TGFB1,CTCFL
0,P01137,Q86YC3,TGFB1,NRROS
0,P01137,Q9Y2C9,TGFB1,TLR6
0,P01137,Q9Y275,TGFB1,TNFSF13B
0,P01137,P07225,TGFB1,PROS1
0,P01137,Q9UKS7,TGFB1,IKZF2
0,P01137,P23508,TGFB1,MCC
0,P01137,Q86WG5,TGFB1,SBF2
0,P01137,P05362,TGFB1,ICAM1
0,P01137,Q13443,TGFB1,ADAM9
0,P01137,Q9BXS6,TGFB1,NUSAP1
0,P01137,Q9GZP0,TGFB1,PDGFD
0,P01137,P35212,TGFB1,GJA4
0,P01137,Q9Y6Q6,TGFB1,TNFRSF11A
0,P01137,P19320,TGFB1,VCAM1
0,P01137,P14921,TGFB1,ETS1
0,P01137,Q8TBE7,TGFB1,SLC35G2
0,P01137,P22004,TGFB1,BMP6
0,P01137,Q9NS15,TGFB1,LTBP3
0,P01137,Q9H3D4,TGFB1,TP63
0,P01137,P41271,TGFB1,NBL1
0,P01137,Q92819,TGFB1,HAS2
0,P01137,P47813,TGFB1,EIF1AX
0,P01137,P06239,TGFB1,LCK
0,P01137,Q9NQC1,TGFB1,JADE2
0,P01137,Q99748,TGFB1,NRTN
0,P01137,Q8NI17,TGFB1,IL31RA
0,P01137,Q9Y239,TGFB1,NOD1
0,P01137,P41595,TGFB1,HTR2B
0,P01137,Q29980,TGFB1,MICB
